Air Pollutant,Air Quality Station Name,Air Quality Station Type,Air Quality Network Name,Longitude,Latitude,HubName,HubDist,Pollutant_Group,In_Particulates
Benzo(ghi)perylene,61R002 - IXELLES,traffic,Brussels,4.38472,50.82513,w28669727,5236.486202,Volatile organic compounds,FALSE
Benzo(k)fluoranthene,61R002 - IXELLES,traffic,Brussels,4.38472,50.82513,w28669727,5236.486202,Volatile organic compounds,FALSE
C6H5-CH3,41WOL2 - WOL.ST.L.,background,Brussels,4.42579,50.85655,w460179336,3145.613531,Volatile organic compounds,FALSE
C6H5-C2H5,41WOL2 - WOL.ST.L.,background,Brussels,4.42579,50.85655,w460179336,3145.613531,Volatile organic compounds,FALSE
"m,p-C6H4(CH3)2",41WOL2 - WOL.ST.L.,background,Brussels,4.42579,50.85655,w460179336,3145.613531,Volatile organic compounds,FALSE
o-C6H4-(CH3)2,41WOL2 - WOL.ST.L.,background,Brussels,4.42579,50.85655,w460179336,3145.613531,Volatile organic compounds,FALSE
C6H6,51AUD1 - AUDERGHEM,background,Brussels,4.43787,50.81389,w1310809806,7493.7253,Volatile organic compounds,FALSE
C6H5-CH3,51AUD1 - AUDERGHEM,background,Brussels,4.43787,50.81389,w1310809806,7493.7253,Volatile organic compounds,FALSE
C6H5-C2H5,51AUD1 - AUDERGHEM,background,Brussels,4.43787,50.81389,w1310809806,7493.7253,Volatile organic compounds,FALSE
Fluoranthene,61R002 - IXELLES,traffic,Brussels,4.38472,50.82513,w28669727,5236.486202,Volatile organic compounds,FALSE
"Indeno-(1,2,3-cd)pyrene",61R002 - IXELLES,traffic,Brussels,4.38472,50.82513,w28669727,5236.486202,Volatile organic compounds,FALSE
Pyrene,61R002 - IXELLES,traffic,Brussels,4.38472,50.82513,w28669727,5236.486202,Volatile organic compounds,FALSE
Dibenzo(ah)anthracene,61R002 - IXELLES,traffic,Brussels,4.38472,50.82513,w28669727,5236.486202,Volatile organic compounds,FALSE
BaP,61R002 - IXELLES,traffic,Brussels,4.38472,50.82513,w28669727,5236.486202,Others,FALSE
Benzo(e)pyrene,61R003 - ARTS-LOI,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
Benzo(a)anthracene,61R003 - ARTS-LOI,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
Benzo(b)fluoranthene,61R003 - ARTS-LOI,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
Benzo(ghi)perylene,61R003 - ARTS-LOI,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
Benzo(k)fluoranthene,61R003 - ARTS-LOI,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
Fluoranthene,61R003 - ARTS-LOI,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
"Indeno-(1,2,3-cd)pyrene",61R003 - ARTS-LOI,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
Pyrene,61R003 - ARTS-LOI,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
Dibenzo(ah)anthracene,61R003 - ARTS-LOI,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Volatile organic compounds,FALSE
BaP,61R003 - ARTS-LOI,background,Brussels,4.36868,50.84572,w28669727,2699.440409,Others,FALSE
